marketCard_symbol,marketCard_stockPosition,marketCard_changePct
ASX 200*,"8,903.90",+42.20+0.48%
NIKKEI*,"54,043.22",-67.28-0.12%
NIFTY 50*,"25,812.45",+146.85+0.57%
HSI*,"26,854.00",-69.62-0.26%
SHANGHAI*,"4,115.916",+3.314+0.08%
